Nº	Códice	Fecha Inicio Códice	Fecha Fin Códice	Lugar	Copista/Impresor	Biblioteca	Obra	Fecha Inicio Obra	Fecha Fin Obra	Título	Autor	Traductor	Folio	Contexto previo	Término Buscado <Lema> [Etiqueta]	Contexto posterior
72	MEL	1489	1489	Toulouse	Juan Párix y Etienne Clebat	Bruselas: Koninklijke Bibliotheek van België  [Inc. B 840]	HSMS-0034-0001	1489-07-14 ad quem	1489-07-14 ad quem	Historia de la linda Melosina	Jean d’Arras	desconocido	53r-a(18)	harian quanto pudiessen mas que vinjssen presto que eran en grand menester E vino el	haraute <faraute> [NCMS000]	 con las nuevas las quales oydas muy presta mente todos se armaron & fueron delante
73	BLP	1490 ca.	1490 ca.	Sevilla	Cuatro Compañeros alemanes	Madrid: Real Biblioteca  [I/172 (1)]	HSMS-0496-0001	1457	1457	Batalla campal de los lobos y los perros	Alfonso de Palencia		10v-a(28)	con los canes mas batalla vniuersal es de procurar contra ellos y es de buscar	haraute <faraute> [NCMS000]	 que en breues razones diga las causas de nuestro proposito y asigne el dia limite
74	BLP	1490 ca.	1490 ca.	Sevilla	Cuatro Compañeros alemanes	Madrid: Real Biblioteca  [I/172 (1)]	HSMS-0496-0001	1457	1457	Batalla campal de los lobos y los perros	Alfonso de Palencia		11r-a(27)	segund la fortaleza lo manda Capitulo xiij como despues que determinaron que la raposa fuese	haraute <faraute> [NCMS000]	 fallo viaporio a calidina muy perteneçiente para ello. ENtendiendo sobre lo del haraute despues
75	BLP	1490 ca.	1490 ca.	Sevilla	Cuatro Compañeros alemanes	Madrid: Real Biblioteca  [I/172 (1)]	HSMS-0496-0001	1457	1457	Batalla campal de los lobos y los perros	Alfonso de Palencia		11r-a(29)	fuese haraute fallo viaporio a calidina muy perteneçiente para ello. ENtendiendo sobre lo del	haraute <faraute> [NCMS000]	 despues de muchos acuerdos dixeron que la raposa era muy mas conuenible que otro ninguno
76	BLP	1490 ca.	1490 ca.	Sevilla	Cuatro Compañeros alemanes	Madrid: Real Biblioteca  [I/172 (1)]	HSMS-0496-0001	1457	1457	Batalla campal de los lobos y los perros	Alfonso de Palencia		13r-a(15)	lobos Et mas para que assi gelo declaras tres o quatro vezes lo amonesto como	haraute <faraute·PUNCT> [NCMS000·PUNCT]	 Retornare a oyr la respuesta dentro del quarto dia tu fas como sueles Despues destas
77	BLP	1490 ca.	1490 ca.	Sevilla	Cuatro Compañeros alemanes	Madrid: Real Biblioteca  [I/172 (1)]	HSMS-0496-0001	1457	1457	Batalla campal de los lobos y los perros	Alfonso de Palencia		14v-a(32)	sea enemiga por razon dela guarda que nos es encomendada pero pues es enbiada como	haraute <faraute> [NCMS000]	 es deuido que retorne syn daño Et sea la respuesta entera y consonante alo que
78	RFG	1490 ca.	1500 ca.	Burgos	Fadrique de Basilea	Washington: Library of Congress  [PN6490.R4 1490]	HSMS-0466-0001	1500 ca. ad quem	1500 ca. ad quem	Refranes glosados	desconocido		14v-a(14)	dauan en otro mayor inconueniente Assi como ¶ La sardina de blanes que saltando del	huego <fuego> [NCMS000]	 dio enlas brasas ¶ Por tanto hijo mio antes que hombre se mueua deue bien
79	MAE	1491	1491	Burgos	Fadrique de Basilea	Salamanca: Biblioteca General Histórica de la Universidad de Salamanca  [I.190]	HSMS-0258-0001	1491 ad quem	1491 ad quem	Muestra de las antigüedades de España	Antonio de Nebrija		6r-a(28)	i mas claramente diodoro siculo llamaron se assi porque en algun tiempo vnos pastores pusieron	huego <fuego> [NCMS000]	 alos arboles breñas i malezas de que tienen mui grande copia aquellas montañas especialmente por
80	MAE	1491	1491	Burgos	Fadrique de Basilea	Salamanca: Biblioteca General Histórica de la Universidad de Salamanca  [I.190]	HSMS-0258-0001	1491 ad quem	1491 ad quem	Muestra de las antigüedades de España	Antonio de Nebrija		6v-a(3)	por algunos dias de donde se llamaron despues pireneos porque pir en griego quiere dezir	huego <fuego·PUNCT> [NCMS000·PUNCT]	 Silio italico pone otra causa de donde piensa que se llamaron assi la qual aun
81	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		11v-a(7)	sea clerigo o lego E avn mandaron que si en leuandolo ala eglesia o ala	huesa <fosa> [NCFS000]	 lo fiziesen quelos clerigos dexasen de soterrar lo fasta que callasen & avn touieron por
82	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		50r-b(52)	açercadas alas yglesias La ij es porque aquellos que vienen alas yglesias quando veen las	huessas <fosa> [NCFP000]	 de sus parientes o desus amigos acuerdanse de rogar a dios por ellos La iij
83	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		50v-a(40)	amigos a su amigo & los xpistianos vnos aotros ca cadavno deue ser soterrado ensu	huessa <fosa> [NCFS000]	 propia si la ouiere o enla que le dieren sus parientes o sus amigos o
84	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		50v-a(44)	pueden dar o enlas que fizieren de nueuo & no deuen soterrar a ninguno en	huessa <fosa> [NCFS000]	 agena pero si acaesçiese que lo fiziessen no lo deuen della sacar saluo si lo
85	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		50v-a(52)	de fazer emienda dello segund aluedrio del iuez del lugar pero aquel cuya fuere la	huessa <fosa> [NCFS000]	 o el luzillo puedele demandar que saque el muerto della o que le de el
86	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		61v-a(57)	soterrar o por fazer el oficio delos muertos o por bendezir los nouios por vender	huesa <fosa> [NCFS000]	 enel çementerio o tomando algo los arçiprestes delos clerigos quando les da la crisma para
87	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		258r-a(57)	vno dize a otro prometo te de dar vn sieruo que conpre de tal onbre	hulano <fulano> [NCMS000]	 nonbrando lo por su nonbre que ha tal menester o señalandolo por alguna señal çierta
88	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		258r-a(60)	menester o señalandolo por alguna señal çierta E poresta palabra que dize que conpre de	hulano <fulano·PUNCT> [NCMS000·PUNCT]	 o por la otra que dize hulano que ha tal menester o por aquella señal
89	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		258r-a(60)	E poresta palabra que dize que conpre de hulano o por la otra que dize	hulano <fulano> [NCMS000]	 que ha tal menester o por aquella señal por quel señalase entiendese quel pleyto es
90	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		271v-a(44)	legitimos non ouiere puede los legitimar en su testamento enesta manera diziendo assi quiero que	holano <fulano·PUNCT> [NCMS000·PUNCT]	 o hulana mios hijos que oue de tal muger que sean mios herederos legitimos Ca
91	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		271v-a(44)	ouiere puede los legitimar en su testamento enesta manera diziendo assi quiero que holano o	hulana <fulano> [NCFS000]	 mios hijos que oue de tal muger que sean mios herederos legitimos Ca si de
92	SPO	1491-10-25	1491-10-25	Sevilla	Meinardo Ungut y Estanislao Polono	Nueva York: Hispanic Society of America  []	HSMS-0208-0001	1256-06-23	1265-08-28	Siete partidas	Alfonso X el Sabio, rey de Castilla y León		272v-b(12)	otro por su heredero en su testamento so tal condiçion diziendo assi yo establezco a	hulano <fulano> [NCMS000]	 por mio heredero sil sacare de su poder aquel quel porhijo E por qual quier
93	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		17r-b(6)	uestis. vestido velloso dentro & fuera Amphimerina febris. entre dia & dia es	hiebre <fiebre> [NCFS000]	 Amphipolis is. ciudad de Amphipolites e. por varon de aquella ciudad Amphipolitanus a
94	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		33v-a(21)	hierro para quemar Cauterium ij. por aquello mesmo Cauterizo as. por herrar de	huego <fuego·PUNCT> [NCMS000·PUNCT]	 a i Cautes is. por la piedra Cautio onis. por la caucion o
95	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		62v-a(8)	Extimus a um. por cosa mui de fuera Extinguo is xi. por apagar	huego <fuego·PUNCT> [NCMS000·PUNCT]	 a i Extinctus us. por aquel apagamiento Extinctio onis. por aquello mesmo Extinxem
96	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		64r-a(17)	Februo as. por alimpiar por sacrificio os. Februarius ij. por el mes	hebrero <febrero> [NCMS000]	 Februarius a um. por cosa deste mes Fecialis i. por el sacerdote delas
97	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		64r-a(34)	. por aquello mesmo Femoralia ium. por las bragas Fenestra ae. por la	hiniestra <finiestra> [NCFS000]	 o ventana Fenestella ae. por la hiniestra pequeña Fenestella ae. por la ventanilla
98	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		64r-a(35)	las bragas Fenestra ae. por la hiniestra o ventana Fenestella ae. por la	hiniestra <finiestra> [NCFS000]	 pequeña Fenestella ae. por la ventanilla Fenestra clatrata. por ventana enrexada Fenestella ae
99	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		64v-a(20)	el donaire Festiuiter aduerbium. por donosa mente Festra ae. por la ventana o	hiniestra <finiestra·PUNCT> [NCFS000·PUNCT]	 pr Festum i. por la fiesta de guardar Festus a um. por cosa
100	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		65r-b(46)	. la que lleva de arimino a roma Flamma ae. por la llama de	huego <fuego> [NCMS000]	 Flammaris toga. de color de llama Flammeus a um. por cosa de llama
101	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		65v-b(35)	palmes. por el sopeton de vid Focarius ij. por el que haze el	huego <fuego> [NCMS000]	 Focaria ae. por la que haze el huego Focillo as aui. por recrear
102	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		65v-b(36)	. por el que haze el huego Focaria ae. por la que haze el	huego <fuego> [NCMS000]	 Focillo as aui. por recrear otra cosa a ij Focillor aris. por aquello
103	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		65v-b(40)	d iij Focillatio onis. por la recreacion Focus i. por el hogar del	huego <fuego·PUNCT> [NCMS000·PUNCT]	 Foculus i. por el hogar pequeño Foculum i. por aquello mesmo pr Fodio
104	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		66v-b(20)	. por callentar o abraçar a i Fouea ae. por el hoio o la	hossa <fosa·PUNCT> [NCFS000·PUNCT]	 Fraces. por las borras del azeite Fracesco is. por hazer borras n v
105						  []							-()		he <fe> [NCFS000]	 Hellen is. por un hijo de deucalion Hellenes. propria mente son los griegos
106	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		73r-a(24)	. por medio circulo Hemicranion. la media calaverna Hemina ae. por la media	hanega <fanega> [NCFS000]	 Hemispherion i. por media espera Hemistichum i. por medio verso Hemitheus i .
107	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		73v-b(48)	cierta lecħuga silvestre Hierax acis. por el alcon sacre Hierannosos i. por el	huego <fuego> [NCMS000]	 de san marçal hi Hierarcha ae interpretatur princeps sacrorum Hierarchia ae interpretatur sacer principatus Hieracium
108	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		76v-b(14)	Jecinus oris. por aquello mesmo Jecur oris. por el higado Jehenna ae .	huego <fuego> [NCMS000]	 del infierno b. Jehú. rei fue delos judios b. Jeiuna ae .
109	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		76v-b(38)	aquello mesmo pr. Jgnauiter aduerbium. por perezosa mente Jgnis ignis. por el	huego <fuego> [NCMS000]	 Jgniculus i. por el huego pequeño Jgniarium ij. por encendedero de leña Jgneo
110	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		76v-b(39)	. por perezosa mente Jgnis ignis. por el huego Jgniculus i. por el	huego <fuego> [NCMS000]	 pequeño Jgniarium ij. por encendedero de leña Jgneo uel ignesco. por encender se
111	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		79r-b(7)	encender Jncendium ij. por fuego de hoguera Jncendiarius ij. por el que puso	huego <fuego> [NCMS000]	 Jncendiarius a um. por cosa de hoguera Jncensiarium aurum. por tesoro publico Jncentor
112	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		102r-a(31)	la simiente de nabos Napus i. por el nabo luengo Naptha ae. por	huego <fuego> [NCMS000]	 de alquitran Narbo onis. por narbona ciudad de francia Narbonensis e. por cosa
113	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		109v-a(41)	. por aquello mesmo Orinthotrophium. por aquello mesmo Orinthias ae. viento del mes	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 Orno aduerbium. por ogaño Ornotinus a um. por cosa de ogaño Ornus a
114	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		119r-a(11)	athenas Pyracmon onis. por uno delos ciclopes Pyralis is. animal que bive enel	huego <fuego·PUNCT> [NCMS000·PUNCT]	 Pyrausta ae. por aquel animal mesmo Pyramis idis. cosa que sube en agudo
115	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		119r-a(38)	ignitus Pyrois pyroentis. por un cavallo del sol Pyromantia ae. la divinacion del	huego <fuego> [NCMS000]	 Pyromanticus i. por el adivino assi Pyropoecilus i. por cierta especie de piedra
116	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		134v-a(20)	. por cosa sagrada Sacer sacra sacrum. por cosa maldita Sacer morbus. por	huego <fuego> [NCMS000]	 de sant anton Sacellum i. por ermita o templo pequeño Sacerdos otis. por
117	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		137r-b(12)	no conocido Scinis. ladron que mato theseo Scintilla ae. por la centella de	huego <fuego> [NCMS000]	 Scintillula ae. por centella pequeña Scintillo as aui. por centellear n v Scio
118	DLH	1492	1492	Salamanca	Impresor de la Gramática de Nebrija	Madrid: Biblioteca Nacional de España  [INC/1778 (1)]	HSMS-0119-0001	1492 ad quem	1492 ad quem	Dictionarium latino-hispanicum	Antonio de Nebrija		157v-b(47)	mesmo Uespilo onis. por enterrador de muertos Uesta uestae. por la diosa del	huego <fuego> [NCMS000]	 Uestalis e. por cosa desta diosa Uester a um pronomen. por cosa vuestra
119	ILC	1492 ca.	1494 ca.	Zamora	Antonio de Centenera	Madrid: Biblioteca Nacional de España  [INC/1168]	HSMS-0489-0001	1486 ca.	1488 ca.	Las introducciones latinas	Antonio de Nebrija		29v-b(20)	el rio Por la barra del hierro Por el poste Por la nieta Por el	huego <fuego> [NCMS000]	 Por el estregadera Por la flota Por el luchador Por el uelador Por el alhaia
120	ILC	1492 ca.	1494 ca.	Zamora	Antonio de Centenera	Madrid: Biblioteca Nacional de España  [INC/1168]	HSMS-0489-0001	1486 ca.	1488 ca.	Las introducciones latinas	Antonio de Nebrija		73r-b(3)	. ante g. luenga en como por costreñir Por la uestidura romana Por el	huego <fuego> [NCMS000]	 Por rogar Por la palabra O. ante l. breue es como el color
121	AUG	1493 ca.	1493 ca.	Burgos	Juan de Burgos	Madrid: Biblioteca Nacional de España  [INC/1424]	HSMS-0131-0001	1493 ca. ad quem	1493 ca. ad quem	Libro llamado Infancia Salvatoris	pseudo-Bonaventura		30r-b(32)	E aqui dize el euangelista que hazia grand frio por lo qual pedro llegose al	huego <fuego> [NCMS000]	 a escalentarse E no te marauilles ca bien es frio el que desampara a ihesu
122	CAP	1493-03-30	1493-03-30	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/1994]	HSMS-0095-0001	1493-03-30 ad quem	1493-03-30 ad quem	Exemplario contra los engaños y peligros del mundo	Juan de Capua	desconocido	49v-a(3)	no puede curar del qual siente el doliente doble dolor del apostema mesmo & del	huego <fuego·PUNCT> [NCMS000·PUNCT]	 Dende que el venado & el cueruo vieron el trabajo dela presion del galapago &
123	CAP	1493-03-30	1493-03-30	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/1994]	HSMS-0095-0001	1493-03-30 ad quem	1493-03-30 ad quem	Exemplario contra los engaños y peligros del mundo	Juan de Capua	desconocido	55v-a(3)	lengua ni tiene reparo ni puede sanar ca vemos por obra que la llama del	huego <fuego> [NCMS000]	 por rezia que sea ellagua la mata qualquiere lit repara el silencio el bocado veninoso
124	CAP	1493-03-30	1493-03-30	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/1994]	HSMS-0095-0001	1493-03-30 ad quem	1493-03-30 ad quem	Exemplario contra los engaños y peligros del mundo	Juan de Capua	desconocido	55v-a(6)	bocado veninoso dela vibora la triaca le sana qualquier tristura remedia la sperança mas el	huego <fuego> [NCMS000]	 dela enemistad que la lengua procura jamas se amata ni toma sossiego tu plantaste hoy
125	CAP	1493-03-30	1493-03-30	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/1994]	HSMS-0095-0001	1493-03-30 ad quem	1493-03-30 ad quem	Exemplario contra los engaños y peligros del mundo	Juan de Capua	desconocido	61r-a(14)	lleuar con sigo & poner los hemos muy calladamente ala boca dela cueua & puesto	huego <fuego> [NCMS000]	 en la leña con las alas & con diligencia abiuar lo hemos muy presto de
126	CAP	1493-03-30	1493-03-30	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/1994]	HSMS-0095-0001	1493-03-30 ad quem	1493-03-30 ad quem	Exemplario contra los engaños y peligros del mundo	Juan de Capua	desconocido	61r-a(19)	todos dentro & si algunos se querran esforçar de salir que mar los ha el	huego <fuego> [NCMS000]	 ala porta Parecio al rey & a todos los cueruos el consejo muy sano &
127	CAP	1493-03-30	1493-03-30	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/1994]	HSMS-0095-0001	1493-03-30 ad quem	1493-03-30 ad quem	Exemplario contra los engaños y peligros del mundo	Juan de Capua	desconocido	61v-a(14)	dezir que mucho se pueden mejor tollerar el bocado dela sirpiente & el cantirio del	huego <fuego·PUNCT> [NCMS000·PUNCT]	 que la conuersacion delos enemigos malignos & sin piadad Respuso entonces el cueruo por cierto
128	CHS	1494-08-15	1494-08-15	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/51]	HSMS-0134-0001	1491 a quo	1494-08-15 ad quem	Compendio de la salud humana	Johannes de Ketham	desconocido	28r-b(34)	olla muy limpia & ataparla tanto que ningun vapor pueda salir della & ponerla sobrel	huego <fuego> [NCMS000]	 & abiuese tan diligentemente el huego en ella que venga a derritirse la sal &
129	CHS	1494-08-15	1494-08-15	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/51]	HSMS-0134-0001	1491 a quo	1494-08-15 ad quem	Compendio de la salud humana	Johannes de Ketham	desconocido	28r-b(35)	que ningun vapor pueda salir della & ponerla sobrel huego & abiuese tan diligentemente el	huego <fuego> [NCMS000]	 en ella que venga a derritirse la sal & se haga vna massilla y entonces
130	CHS	1494-08-15	1494-08-15	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/51]	HSMS-0134-0001	1491 a quo	1494-08-15 ad quem	Compendio de la salud humana	Johannes de Ketham	desconocido	28r-b(37)	venga a derritirse la sal & se haga vna massilla y entonces quita la del	huego <fuego> [NCMS000]	 y dexala refriar & picala muy bien en vn mortero despues haz vn agujero en
131	PDC	1494-09-18	1494-09-18	Toulouse	Heinrich Meyer	Madrid: Biblioteca Nacional de España  [INC/1884]	HSMS-0356-0001	1494-09-18 ad quem	1494-09-18 ad quem	El libro de proprietatibus rerum	Bartholomaeus Anglicus	Vicente de Burgos	97r-a(16)	las palpabras son gordas por el humor que es & viene continuamente y es la	huessa <fosa> [NCFS000]	 de las pupillas guastada / & significa que los tales han buen conoçimiento de verdad
132	PDC	1494-09-18	1494-09-18	Toulouse	Heinrich Meyer	Madrid: Biblioteca Nacional de España  [INC/1884]	HSMS-0356-0001	1494-09-18 ad quem	1494-09-18 ad quem	El libro de proprietatibus rerum	Bartholomaeus Anglicus	Vicente de Burgos	270r-a(11)	vn toro & los cuernos vn poco doblados & assi grandes que ambos tienen vn	hanega <fanega> [NCFS000]	 de trigo & no ha muelas ningunas En la parte de ençima & en las
133	PDC	1494-09-18	1494-09-18	Toulouse	Heinrich Meyer	Madrid: Biblioteca Nacional de España  [INC/1884]	HSMS-0356-0001	1494-09-18 ad quem	1494-09-18 ad quem	El libro de proprietatibus rerum	Bartholomaeus Anglicus	Vicente de Burgos	318r-a(37)	como paños & semejantes cosas cuya cantidad es ynçierta / & tales medidas particularmente llamamos	hanegas <fanega> [NCFP000]	  varas / medios & semejantes nombres segund el vso de la tierra El autor
134	TPH	1494-08-15	1494-08-15	Zaragoza	Pablo Hurus	Madrid: Biblioteca Nacional de España  [INC/51]	HSMS-0134-0003	1494-08-15 ad quem	1494-08-15 ad quem	Tratado de la fisionomía en breve suma contenida	Michaelus Scotus	desconocido	51v-a(23)	bien que por los ojos veemos & por los oydos oymos Onde si alguno dixiesse	hulano <fulano> [NCMS000]	 vee porque tiene ojos seria touido por necio & assi del viejo por los señales
135	BDS	1495-05-16	1495-05-16	Sevilla	Meinardo Ungut y Estanislao Polono	Madrid: Biblioteca Nacional de España  [INC/187]	HSMS-0094-0001	1250 ca.	1250 ca.	Bocados de oro	al-Mubashshir ibn Fatik, Abu al-Wafa	desconocido	34v-a(18)	vido todas sus casas yguales & no mas alta vna que otra & las sus	huesas <fosa> [NCFP000]	 delante de sus puertas & que no auia iuez ninguno E dixo les porque no
136	BDS	1495-05-16	1495-05-16	Sevilla	Meinardo Ungut y Estanislao Polono	Madrid: Biblioteca Nacional de España  [INC/187]	HSMS-0094-0001	1250 ca.	1250 ca.	Bocados de oro	al-Mubashshir ibn Fatik, Abu al-Wafa	desconocido	34v-a(22)	lo que veo en esta & porque son vuestras casas yguales / & son vuestras	huesas <fosa> [NCFP000]	 delante vuestras puertas E dixieronle el fundamento delas villas no puede ser sin tuerto &
