Nº	Códice	Fecha Inicio Códice	Fecha Fin Códice	Lugar	Copista/Impresor	Biblioteca	Obra	Fecha Inicio Obra	Fecha Fin Obra	Título	Autor	Traductor	Folio	Contexto previo	Término Buscado <Lema> [Etiqueta]	Contexto posterior
68	AG6	1510-04-15	1510-04-15	Salamanca	Juan de Porras	Londres: The British Library  [C.20.e.34]	HSMS-0049-0001	1510 ad quem	1510 ad quem	Florisandro de Cantaria	Ruy Páez de Ribera		61r-b(34)	que era ya alto el sol E hauia andado quatro leguas & llego a vna	huente <fuente> [NCFS000]	 donde hallo so vnos grandes olmos arrendados dos cauallos & vn escudero que los guardaua
69	AG6	1510-04-15	1510-04-15	Salamanca	Juan de Porras	Londres: The British Library  [C.20.e.34]	HSMS-0049-0001	1510 ad quem	1510 ad quem	Florisandro de Cantaria	Ruy Páez de Ribera		123r-b(25)	pie por no ser sentidos E llegados alla / vio la mina & mando ponerse	huego <fuego·PUNCT> [NCMS000·PUNCT]	 & apercebio su gente para lo que hauian de fazer todos muy alegres esperando quando
70	C09	1510	1510	Toledo	Pedro Hagenbach	Londres: The British Library  [C.20.b.9]	HSMS-0045-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		24r-a(2)	amo te oye tan bien te castigara a ti como a mi Sempronio o mal	huego <fuego> [NCMS000]	 te abrasse que tu hablas en daño de todos & yo a ninguno offendo o
71	C09	1510	1510	Toledo	Pedro Hagenbach	Londres: The British Library  [C.20.b.9]	HSMS-0045-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		45r-a(17)	tal cosa de ninguno que hombre sea mayor mente amando como yo nadando por este	huego <fuego> [NCMS000]	 de tu desseo toda mi vida No quieres que me arrime al dulce puerto a
72	C09	1510	1510	Toledo	Pedro Hagenbach	Londres: The British Library  [C.20.b.9]	HSMS-0045-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		59r-a(29)	la vengança delos padres ni se si hieres con hierro ni se si quemas con	huego <fuego·PUNCT> [NCMS000·PUNCT]	 sana dexas la ropa lastimas el coraçon Hazes que feo amen y hermoso les parezca
73	C04	1511	1511	Sevilla	Jacobo Cromberger	Londres: The British Library  [C.20.c.17]	HSMS-0044-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		24r-a(2)	si nuestro amo te oye tambien te castigara ati como a mi Sempronio o mal	huego <fuego> [NCMS000]	 te abrase que tu hablas en daño de todos & yo a ninguno offendo o
74	C04	1511	1511	Sevilla	Jacobo Cromberger	Londres: The British Library  [C.20.c.17]	HSMS-0044-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		49r-a(17)	tal cosa de ninguno que hombre sea mayor mente amando como yo nadando por este	huego <fuego> [NCMS000]	 de tu desseo toda mi vida No quieres que me arrime al dulce puerto a
75	C04	1511	1511	Sevilla	Jacobo Cromberger	Londres: The British Library  [C.20.c.17]	HSMS-0044-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		63r-a(29)	hijos la vengança delos padres ni se si hieres con hierro ni si quemas con	huego <fuego·PUNCT> [NCMS000·PUNCT]	 sana dexas la ropa lastimas el coraçon Hazes que feo amen y hermoso les parezca
76	CDA	1511-01-15	1511-01-15	Valencia	Christofol Kofmann	Madrid: Biblioteca Nacional de España  [R/2092]	HSMS-0432-0120	1465	1485	Diálogo entre el Amor y un viejo	Rodrigo Cota		72v-c(1)	produze locas flores ni los frutos y dulçores que solies hallar enel Sus verduras y	hollajes <follaje> [NCMP000]	 y delicados frutales hechos son todos saluajes conuertidos en linajes de natios de eriales ¶
77	CDA	1511-01-15	1511-01-15	Valencia	Christofol Kofmann	Madrid: Biblioteca Nacional de España  [R/2092]	HSMS-0432-0120	1465	1485	Diálogo entre el Amor y un viejo	Rodrigo Cota		73r-b(19)	Amor. ¶ Pues estas tan criminal hablar quiero con sossiego por que no encendamos	huego <fuego> [NCMS000]	 como yesca y pedernal Y pues soy amor llamado hablare con dulcedumbre rescibiendo muy temprado
78	PRM	1512-07-03	1512-07-03	Salamanca	Juan de Porras	Cambridge (UK): University Library  [F151.b.8.8]	HSMS-0477-0001	1512-07-03 ad quem	1512-07-03 ad quem	Primaleón	Francisco Vázquez		197r-a(41)	& de plata & cabel estauan diez donzellas ricamente guarnidas & las dos dellas tenian	hazalejas <fazaleja> [NCFP000]	 muy ricamente labradas al cuello & varas de oro enlas manos y estauan a guisa
79	C05	1513 ca.	1515 ca.	Sevilla	Jacobo Cromberger	Ann Arbor: William L. Clements Library, University of Michigan  [PQ 6426 .A1 1502]	HSMS-0003-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		43r-a(17)	hazer tal cosa de ninguno que hombre sea mayormente amando como yo nadando por este	huego <fuego> [NCMS000]	 de tu desseo toda mi vida No quieres que me arrime al dulce puerto a
80	C05	1513 ca.	1515 ca.	Sevilla	Jacobo Cromberger	Ann Arbor: William L. Clements Library, University of Michigan  [PQ 6426 .A1 1502]	HSMS-0003-0001	1502 ca.	1502 ca.	Tragicomedia de Calisto y Melibea	Fernando de Rojas		56r-a(29)	hijos la vengança delos padres ni se si hieres con hierro ni si quemas con	huego <fuego·PUNCT> [NCMS000·PUNCT]	 sana dexas la ropa lastimas el coraçon Hazes que feo amen y hermoso les parezca
81	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		6v-a(24)	grande tempero ala tierra y comiença a correr segun que varron dize en principio de	hebrero <febrero> [NCMS000]	 y dura hasta quasi en fin de março y avn que en otros tiempos de
82	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		9r-a(31)	hazen y si el señor no esta presente muchas vezes onde an de sembrar vna	hanega <fanega·PUNCT> [NCFS000·PUNCT]	 no siembran media y avn alas vezes no vn entero celemin como bien nota Columella
83	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		9v-a(44)	mes de enero y en las que son muy frias muy neuosas enel mes de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 Palladio dize Conuiene sembrar el trimesino en lugares frios y neuosos onde sea el estio
84	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		10r-a(1)	secas pocas vezes responde si por enero De la sementera \ Folio x. o	hebrero <febrero> [NCMS000]	 se siembra mas si en las tales tierras se siembra por la primera sementera afirma
85	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		10r-a(2)	sementera afirma que sin dubda sera muy mejor que si se sembrara por enero o	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y en esto son todos concordes entienda se callente con tal que sea humida por
86	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		10r-a(10)	tibias deue ser la sementera enel mes de enero y en las muy frias por	hebrero <febrero> [NCMS000]	 y en principio de março con tal que no passe del equinocio del verano que
87	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		11v-a(1)	o poco antes y en las frias çerca la prima vera que es ya por	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 en tal que como dixe sea antes que eche cogollo como el mismo columella escriue
88	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		15r-a(41)	Es de su naturaleza fria y seca por ser fria la dan alos que tienen	hiebre <fiebre> [NCFS000]	 contina como son los eticos haze se della vn pan muy suaue como dize el
89	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		15v-a(44)	de otoño y enlas tierras humidas xugosas por março como muestra paladio o de mediado	hebrero <febrero> [NCMS000]	 en adelante Anlos de sembrar no muy espessos por que puedan estender las ramas segun
90	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		16v-a(33)	por otubre o nouiembre o despues que es por desde mediado enero y por todo	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 Theofrasto dize que para ser muy buenas a de ser la sementera muy temprana por
91	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		16v-a(37)	llueue mucho reciben mucho daño Si son tierras frias las pueden sembrar por enero y	hebrero <febrero> [NCMS000]	 para que sean tardias Avn que segun dize el creçentino pocas vezes les sucede bien
92	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		17v-a(7)	que en los callentes Ay dos tiempos de su sementera o en nouiembre o por	hebrero <febrero> [NCMS000]	 quando el pan tresmesino Siembren las en luna creciente y es mejor a doze de
93	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		18v-a(3)	y no gruessas La mejor sementera dellos es por enero y tras ella la de	hebrero <febrero> [NCMS000]	 mas no tal por março acuden mal y por esso no los deuen sembrar entonce
94	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		18v-a(32)	buena sazon ni bueno para sembrar La buena sementera dello es por en fin de	hebrero <febrero> [NCMS000]	 y por março digo de lo trimesino an de auer muy arado la tierra para
95	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		19r-a(33)	esto esso mismo se entienda del panizo quanto en esto Es su principal sementera desde	hebrero <febrero> [NCMS000]	 hasta março y avn mediado abril y ni a ello ni al mijo nunca lo
96	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		19v-a(20)	tamaño excepto que son como esquinadas quieren tierras gruessas y humidas siembran se por enero	hebrero <febrero> [NCMS000]	 y al principio de março y muy ralas es buen mantenimiento para bueyes y avn
97	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		20r-a(5)	mas quiere las tierras muy labradas y mollidas los terrones muy quebrantados Siembra se por	hebrero <febrero> [NCMS000]	 y março An lo de esparzir ralo escardarlo a menudo guarden lo en todo tiempo
98	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		20r-a(40)	en la sobrehaz quiere tierras muy gruessas y callentes La mejor sementera dellos es por	hebrero <febrero> [NCMS000]	 y março comido ayuda mucho a digerir tiene propriedad de abrir las vias de la
99	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		20v-a(22)	algunas tierras llaman vayal otro ay que se siembra ala prima vera que es por	hebrero <febrero> [NCMS000]	 y março que por que se riega llaman regantio lo vno y lo otro quiere
100	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		21v-a(11)	bueno En las tierras frias siembren lo por março y en las mas callentes por	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 Pocas vezes acude bien la sementera dello antes de diziembre en las tierras muy frias
101	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		28v-a(44)	cojan agua harta esto digo en las tierras callentes o templadas en las frias por	hebrero <febrero> [NCMS000]	 y dende en delante ¶ En las tierras secas y duras sea que aya passado
102	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		29r-a(24)	tiempo destos es en acabando de vendimiar y el otro ala prima vera por enero	hebrero <febrero> [NCMS000]	 março la propiedad destos dos tiempos quanto en esto es esta ¶ Toda vid que
103	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		29r-a(39)	de podar antes del inuierno y las que estan en tierras muy frias despues de	hebrero <febrero> [NCMS000]	 y por março y no mas tarde y las que estan en tierras onde los
104	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		29v-a(6)	entre vides por el peligro que se les sigue Y avn quando en enero y	hebrero <febrero> [NCMS000]	 podan a de ser bien entrado el dia por que esten las cepas deseladas y
105	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		29v-a(11)	si la tierra es fria es bueno en menguante de março si caliente enel de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 ¶ Dixe que todo podar auie de ser en menguante entiendase si es en la
106	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		37r-a(14)	del inuierno alo menos nunca mas tarde de por todo el mes de enero y	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 en especial esto de la vrina sea por enero o hebrero y no antes ni
107	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		37r-a(14)	mes de enero y hebrero en especial esto de la vrina sea por enero o	hebrero <febrero> [NCMS000]	 y no antes ni despues ¶ Si es tierra muy liuiana y flaca es bueno
108	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		38r-a(2)	alli brota o muy mal asi mesmo guarde la de cabras que su roer es	huego <fuego> [NCMS000]	 y ponçoña do llegan que esto de los viñaderos que guardan las viñas es la
109	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		39r-a(24)	hinchen de açucar y tan bien es bueno meterlas en mosto que este hiruiendo al	huego <fuego> [NCMS000]	 antes que se torne arrope y sacar las y desque esten enxutas guardarlas y es
110	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		49r-a(3)	tales simientes desde passado el mes de diziembre hasta por todo enero y parte de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 mas toda via lleua grandissima ventaja lo que es algo temprano con tal que no
111	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		49v-a(35)	es que sean puestas despues de los grandes frios del inuierno que es ya por	hebrero <febrero> [NCMS000]	 y março sino fuessen lugares muy callentes y avn que en los contrarios algunas vezes
112	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		50r-a(3)	rama o estaca en fin del otoño que es por otubre o nouiembre o por	hebrero <febrero> [NCMS000]	 y março y en los lugares muy frios por parte de abril entiende se en
113	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		50r-a(45)	quieren plantar antes del inuierno sea temprana por en fin de enero y algo de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 esto digo en las tierras callentes y si son tierras frias y quieren plantar antes
114	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		50v-a(2)	del inuierno sea algo tarde que sean ya passados los grandes frios de enero y	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 ¶ Las plantas que se cortan de ramo si son por la prima vera corten
115	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		52r-a(26)	y de sustancia ala tierra o hinchan las de paja o serojas y den le	huego <fuego> [NCMS000]	 para que el agua incorpore la ceniza o estiercol con la tierra si no an
116	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		57r-a(13)	mas esto se ha de hazer siendo nueuo o en algun ramo nueuo y desde	hebrero <febrero> [NCMS000]	 hasta mediado março por que entonces soldara mejor ¶ Algunas enfermedades tienen los aruoles mas
117	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		57v-a(9)	orina y vaya mezclada conla mitad de agua Esto se haga por el mes de	hebrero <febrero> [NCMS000]	 hasta mediado março Esto es muy bueno para las frutas de pepita como menbrillos peras
118	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		59r-a(40)	junio lo mejor y mas seguro es por la prima vera que es de mediado	hebrero <febrero> [NCMS000]	 y todo março y avn algo de abril y enesto mire el que enxere la
119	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		59v-a(18)	si fueren los aruoles muy tempranos como son los almendros sea por el mes de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y en todo aruol sea antes que brote y abran las yemas ¶ Ay otra
120	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		60r-a(1)	en algunos lugares que fueren De enxerir los arboles \ Folio lx. calientes por	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y enlos aruoles que brotan temprano y en esto sigan el tiempo en que cada
121	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		61v-a(13)	Es buen tiempo para los enxerir por el mes de enero o en principio de	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y bien que en vn aruol se pueden enxerir junta mente muchas maneras de fructas
122	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		62r-a(33)	Enlos lugares callentes se siembran por otubre y nouiembre En los frios por enero y	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 en los templados antes y despues del inuierno estas se an de poner en era
123	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		63r-a(6)	tornen le a quitar la guija otro remedio poner el almendra tarde que es por	hebrero <febrero> [NCMS000]	 que al tiempo que ella nasciere brotara el aruol que della nasce que como las
124	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		64r-a(24)	meses de otubre y nouienbre sy es lugar callente mas si es frio Sea por	hebrero <febrero> [NCMS000]	 las auellanas y por março los ramos o baruados mas las auellanas que plantan sin
125	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		64r-a(25)	los ramos o baruados mas las auellanas que plantan sin cascara Siempre sean o por	hebrero <febrero> [NCMS000]	 o hasta mediado março y nunca antes del ynuierno Aya de vn auellano a otro
126	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		64v-a(19)	tierras callentes por octubre o nouiembre y enlas que fueren mas frias por enero y	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y sea en era como dixe delos almendros excepto que no les echen estiercol de
127	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		65r-a(43)	de simiente puedense bien poner de qualquiera manera delas tres primeras por nouiembre y por	hebrero <febrero> [NCMS000]	 y los de simiente por hebrero en eras como he ya dicho y quando esten
128	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		65r-a(43)	qualquiera manera delas tres primeras por nouiembre y por hebrero y los de simiente por	hebrero <febrero> [NCMS000]	 en eras como he ya dicho y quando esten algo gordos trasponerlos quieren los hoyos
129	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		65v-a(36)	puede ser antes del inuierno y ala prima uera y el de simiente desde mediado	hebrero <febrero> [NCMS000]	 hasta en fin de março y si es la tierra fria por todo el mes
130	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		70r-a(11)	diziembre y avn por enero y si son tierras muy frias es bueno desde mediado	hebrero <febrero> [NCMS000]	 hasta mediado março y para esto ade estar la tierra muy mollida y cauada bien
131	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		71r-a(28)	poco antes que broten Dize abencenif que es su plantar proprio enlas tales tierras por	hebrero <febrero> [NCMS000]	 y março Haganles las hoyas si es en tierra humida honda no mas de tres
132	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		71r-a(38)	y enxuta o ala prima vera si es tierra fria o humida que es por	hebrero <febrero> [NCMS000]	 y algo de março y los que asi ponen ala primavera tengan los tres dias
133	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		73v-a(30)	por el mes de otubre o nouiembre y si es tierra fria por enero o	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y algunos los siembran enlas callentes por setiembre y avn que ellos nazcan onde quiera
134	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		75r-a(5)	y el hoyo no sea muy hondo y sea ancho y anse de poner por	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y enero y para esto sean delos baruados que nascieren algo lexos delas enzinas que
135	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		75v-a(6)	las baruillas y destas dos maneras se pongan antes que comiencen abrotar que sera por	hebrero <febrero·PUNCT> [NCMS000·PUNCT]	 y enesto siguan la condicion de aquella tierra o region o en mas tarde o
136	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		77r-a(43)	no la pueden auer sea vna salmuera y tengan lo en vna caldera sobre el	huego <fuego> [NCMS000]	 y hyerua muy bien y metan alli los colgajos de las granadas y no las
137	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		78r-a(33)	es tierra muy fria sera desde mediado março hasta algo de abril si templada desde	hebrero <febrero> [NCMS000]	 hasta mediado março las posturas en inuierno que onde es tierra callente an de ser
138	GAH	1513	1513	Alcalá de Henares	Arnaldo Guillén de Brocar	Madrid: Biblioteca Nacional de España  [R/3867]	HSMS-0058-0001	1513	1513	Obra de agricultura	Gabriel Alonso de Herrera		81r-a(16)	es lugar humido o donde mucho se riegue bien los pueden poner por enero o	hebrero <febrero> [NCMS000]	 y avn por março y dela misma manera se puede poner de estaca y enlos
